日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2026-05-12,2026,300661,半导体,4.31,85.96,86.13,90.44,86.99,91.72,85.1,5.0,4.9,止盈(5%),77.8,可交易
2026-05-13,2026,300661,半导体,6.24,91.5,91.68,89.85,89.35,94.39,89.24,-2.0,-2.1,止损(-2%),80.5,可交易
2026-05-14,2026,300408,元件,6.98,75.0,75.15,75.71,75.71,76.6,73.88,0.75,0.65,收盘卖出,78.5,可交易
2026-05-18,2026,300285,元件,5.77,36.74,36.81,36.98,36.98,37.34,36.39,0.45,0.35,收盘卖出,79.5,可交易
2026-05-20,2026,688072,半导体,5.03,467.24,468.17,464.16,464.16,489.97,460.04,-0.86,-0.96,收盘卖出,72.8,可交易
2026-05-21,2026,002916,元件,2.0,322.75,323.4,323.5,323.5,329.0,318.16,0.03,-0.07,收盘卖出,72.8,可交易
2026-05-22,2026,603228,元件,5.79,73.0,73.15,76.8,74.5,77.36,72.6,5.0,4.9,止盈(5%),71.8,可交易
2026-05-25,2026,603267,元件,4.21,57.0,57.11,57.33,57.33,58.83,56.71,0.38,0.28,收盘卖出,74.8,可交易
2026-05-27,2026,300236,电子化学品,4.12,97.9,98.1,103.0,102.66,104.31,95.68,5.0,4.9,止盈(5%),72.8,可交易
2026-05-28,2026,300576,电子化学品,3.02,40.66,40.74,39.93,41.31,42.5,39.78,-2.0,-2.1,止损(-2%),75.8,可交易
2026-05-29,2026,688981,半导体,3.23,136.0,136.27,143.09,156.0,157.6,136.0,5.0,4.9,止盈(5%),71.8,可交易
2026-06-01,2026,300576,电子化学品,3.0,42.55,42.64,44.77,45.37,47.3,41.48,5.0,4.9,止盈(5%),82.8,可交易
2026-06-02,2026,300576,电子化学品,6.63,44.15,44.24,46.45,45.99,47.0,43.82,5.0,4.9,止盈(5%),80.5,可交易
2026-06-03,2026,603267,元件,3.79,59.28,59.4,59.52,59.52,59.94,58.4,0.2,0.1,收盘卖出,77.5,可交易
